EXIOBASE_code,EXIOBASE_industry_code,Year,Deforestation_area_ha
AT,i01.b,2001,3.837382813100367
AT,i01.b,2002,0.5366745571250908
AT,i01.b,2003,12.18699889585018
AT,i01.b,2004,4.552165627727077
AT,i01.b,2005,2.916542603556374
AT,i01.b,2006,3.814358417296284
AT,i01.b,2007,7.357523876865558
AT,i01.b,2008,4.394498539419288
AT,i01.b,2009,0.0
AT,i01.b,2010,0.0
AT,i01.b,2011,0.3865890655053447
AT,i01.b,2012,1.229799440380269e-16
AT,i01.b,2013,3.126390377732549
AT,i01.b,2014,0.0
AT,i01.b,2015,1.235907514756965e-16
AT,i01.b,2016,0.0
AT,i01.b,2017,2.097166127131339e-15
AT,i01.b,2018,0.0
AT,i01.b,2019,6.469751974422202
AT,i01.b,2020,0.0
AT,i01.b,2021,0.4515306562646003
AT,i01.b,2022,0.5669144108302141
AT,i01.c,2001,39.92671145545398
AT,i01.c,2002,14.372473216069384
AT,i01.c,2003,6.744713129382732
AT,i01.c,2004,9.698939613679746
AT,i01.c,2005,18.190045174656582
AT,i01.c,2006,11.498597662509841
AT,i01.c,2007,22.62460941844169
AT,i01.c,2008,1.0795851022227305
AT,i01.c,2009,13.82504709342931
AT,i01.c,2010,11.290663706870271
AT,i01.c,2011,16.382177795160572
AT,i01.c,2012,8.804623379252632
AT,i01.c,2013,2.092865640458308
AT,i01.c,2014,2.6809784953184854
AT,i01.c,2015,3.6842453596997182
AT,i01.c,2016,21.628561866551784
AT,i01.c,2017,41.39040557461862
AT,i01.c,2018,44.85686706219481
AT,i01.c,2019,27.83695915310605
AT,i01.c,2020,0.0
AT,i01.c,2021,5.038329572819164
AT,i01.c,2022,4.978291710774391
AT,i01.d,2001,6.488490839172211
AT,i01.d,2002,10.210507262854396
AT,i01.d,2003,6.858094082850804
AT,i01.d,2004,13.331574283057957
AT,i01.d,2005,1.7103665709659452
AT,i01.d,2006,0.6884155069692031
AT,i01.d,2007,3.6608821720248432
AT,i01.d,2008,3.6503580273863885
AT,i01.d,2009,4.439382938338206
AT,i01.d,2010,3.7648129672076833
AT,i01.d,2011,4.778290571712363
AT,i01.d,2012,3.424386435529173
AT,i01.d,2013,2.0482581156889523
AT,i01.d,2014,5.536095063853513
AT,i01.d,2015,2.5138010967399693
AT,i01.d,2016,8.081916237248938
AT,i01.d,2017,37.09645673627998
AT,i01.d,2018,10.551739903242266
AT,i01.d,2019,13.961043734279482
AT,i01.d,2020,0.0
AT,i01.d,2021,1.2788665149827585
AT,i01.d,2022,1.2886861153493832
AT,i01.e,2001,18.111742274198605
AT,i01.e,2002,52.96601920463458
AT,i01.e,2003,22.990555873666736
AT,i01.e,2004,37.19285432116952
AT,i01.e,2005,10.477431122216569
AT,i01.e,2006,3.8867609811834263
AT,i01.e,2007,24.061809640107658
AT,i01.e,2008,18.3731167026379
AT,i01.e,2009,10.352151305175056
AT,i01.e,2010,12.641730366021816
AT,i01.e,2011,9.056612041114068
AT,i01.e,2012,16.5622039138875
AT,i01.e,2013,7.253392998117284
AT,i01.e,2014,13.811963596442176
AT,i01.e,2015,3.551347891448131
AT,i01.e,2016,13.579124262355467
AT,i01.e,2017,61.23453635311321
AT,i01.e,2018,98.96592664654403
AT,i01.e,2019,115.44411503618191
AT,i01.e,2020,0.0
AT,i01.e,2021,11.086018300163152
AT,i01.e,2022,10.962999546346161
AT,i01.f,2001,0.05283005124418525
AT,i01.f,2002,0.6188186219911757
AT,i01.f,2003,0.0
AT,i01.f,2004,0.0
AT,i01.f,2005,5.434814074569507e-17
AT,i01.f,2006,0.6954337892106199
AT,i01.f,2007,1.915369976450116
AT,i01.f,2008,2.062664481791194
AT,i01.f,2009,3.622713489781201
AT,i01.f,2010,5.670342518672289
AT,i01.f,2011,5.002039870075586
AT,i01.f,2012,1.96585782390926e-17
AT,i01.f,2013,0.0
AT,i01.f,2014,0.0
AT,i01.f,2015,1.853504326918867e-17
AT,i01.f,2016,0.0
AT,i01.f,2017,3.034123390259062e-16
AT,i01.f,2018,21.07155321071073
AT,i01.f,2019,42.43646525328244
AT,i01.f,2020,0.0
AT,i01.f,2021,5.281497644994995
AT,i01.f,2022,5.998124401707765
AT,i01.g,2001,0.6419651681490395
AT,i01.g,2002,0.1423830457678811
AT,i01.g,2003,0.1918754597151984
AT,i01.g,2004,0.07798142402958591
AT,i01.g,2005,5.837347853643686e-19
AT,i01.g,2006,0.0
AT,i01.g,2007,0.06779411429675634
AT,i01.g,2008,0.1255737114055518
AT,i01.g,2009,0.08046004419280844
AT,i01.g,2010,0.02453876589305585
AT,i01.g,2011,0.49224845639908854
AT,i01.g,2012,0.1531415228090938
AT,i01.g,2013,0.01404961410058443
AT,i01.g,2014,0.0
AT,i01.g,2015,0.1069589655267073
AT,i01.g,2016,0.7375708381913256
AT,i01.g,2017,3.867271643642961
AT,i01.g,2018,0.957797873214124
AT,i01.g,2019,2.563168545416916e-17
AT,i01.g,2020,0.0
AT,i01.g,2021,0.02822066601653752
AT,i01.g,2022,0.006659305337256729
AT,i01.h,2001,0.3281866819714541
AT,i01.h,2002,2.5646147698735805e-18
AT,i01.h,2003,0.07752543826876704
AT,i01.h,2004,0.15433823505855548
AT,i01.h,2005,0.007090762567827396
AT,i01.h,2006,0.005458663965546466
AT,i01.h,2007,0.01564479560694377
AT,i01.h,2008,0.05348509930236468
AT,i01.h,2009,0.029502016204029764
AT,i01.h,2010,0.09343607013125109
AT,i01.h,2011,0.036048498069630217
AT,i01.h,2012,0.009634731567459542
AT,i01.h,2013,0.0015805815863157485
