permid,longitude,latitude,country_iso,nace_code,final_weight
4295856620,,,AU,06.20,0.03333333333333333
4295856620,,,AU,06.20,0.03333333333333333
4295856620,,,AU,06.20,0.03333333333333333
4295856620,,,AU,06.20,0.03333333333333333
4295856620,,,AU,06.20,0.03333333333333333
4295856620,,,AU,06.20,0.03333333333333333
4295856620,150.502,-26.874,AU,06.20,0.03333333333333333
4295856620,149.106,-25.932,AU,06.20,0.03333333333333333
4295856620,149.106,-25.932,AU,06.20,0.03333333333333333
4295856620,,,AU,06.20,0.03333333333333333
4295856620,150.297,-26.861,AU,06.20,0.03333333333333333
4295856620,,,AU,06.20,0.03333333333333333
4295856620,150.297,-26.861,AU,06.20,0.03333333333333333
4295856620,151.19061,-23.75583,AU,49.50,0.03333333333333333
4295856620,151.19061,-23.75583,AU,49.50,0.03333333333333333
4295856620,151.5213592,-33.0622305,AU,35.11,0.046153846153846156
4295856620,151.5213592,-33.0622305,AU,35.11,0.046153846153846156
4295856620,151.5213592,-33.0622305,AU,35.11,0.046153846153846156
4295856620,151.5213592,-33.0622305,AU,35.11,0.046153846153846156
4295856620,150.4796,-34.7232,AU,35.11,0.010256410256410256
4295856620,150.467,-34.7338,AU,35.11,0.005128205128205128
4295856620,146.8516,-19.3377,AU,35.11,0.03333333333333333
4295856620,147.2159,-35.1795,AU,35.11,0.03333333333333333
4295856620,138.5205,-34.7792,AU,35.11,0.03333333333333333
4295856620,142.6657,-38.0631,AU,35.11,0.03333333333333333
4295856620,150.8942,-27.1169,AU,35.11,0.03333333333333333
4295856620,138.5072,-34.7982,AU,35.11,0.03333333333333333
4295856620,150.392,-26.9686,AU,06.10,0.03333333333333333
4295856620,150.247,-26.9497,AU,06.10,0.03333333333333333
4295856620,149.4063,-26.3437,AU,06.10,0.03333333333333333
4295856917,151.153717,-23.826842,AU,24.10,1.0
4295856983,114.1572966,-21.55563443,AU,06.20,0.02702702702702703
4295856983,-60.529,10.747,TT,06.20,0.02702702702702703
4295856983,9.044977,31.24129,DZ,06.20,0.02702702702702703
4295856983,-108.52,36.57,US,05.20,0.02458626026907965
4295856983,116.7767,-20.59424,AU,49.50,0.013022383617097273
4295856983,116.7767,-20.59424,AU,49.50,0.013022383617097273
4295856983,116.7767,-20.59424,AU,49.50,0.013022383617097273
4295856983,116.7767,-20.59424,AU,49.50,0.02396118585545898
4295856983,116.7767,-20.59424,AU,49.50,0.02396118585545898
4295856983,150.856144,-32.337022,AU,05.20,0.07761340635789975
4295856983,119.7107,-23.3433,AU,35.11,0.027027027027027025
4295856983,-70.3399,-23.0351,CL,35.11,0.027027027027027025
4295856983,120.006947,-20.421092,AU,07.10,0.027027027027027025
4295856983,119.67436,-23.359582,AU,07.10,0.027027027027027025
4295856983,120.0618848,-23.36926103,AU,07.10,0.027027027027027025
4295856983,118.949384,-22.923369,AU,07.10,0.027027027027027025
4295856983,118.881232,-22.993038,AU,07.10,0.027027027027027025
4295856983,120.303279,-20.614872,AU,07.10,0.027027027027027025
4295856983,119.081463,-22.72083165,AU,07.10,0.027027027027027025
4295856983,147.962045,-21.792321,AU,05.10,0.027027027027027025
4295856983,148.2702015,-22.0410919,AU,05.10,0.027027027027027025
