entity_id,org_id,value,datasource,created_date,modified_date
100000000275.0,1.0,300300ZUP3ML4XCWJV72,,,
100000000277.0,1.0,3003008O6DBCSMQ99H21,,,
100000000278.0,1.0,300300Z93U72IEHBY177,,,
100000000289.0,1.0,300300W8M7JY3INMAS32,,,
100000000291.0,1.0,300300IS5OLYI48O6816,,,
100000000294.0,1.0,300300K8WH9C5E9CEP03,,,
100000000309.0,1.0,655600PMUSXZKLYZ3778,,,
100000000335.0,1.0,213800H4CR5EGA1SBE94,,,
100000000334.0,1.0,254900ASKWG59R4GVD34,,,
100000000349.0,1.0,549300B50QDS1GOPN171,,,
100000000351.0,1.0,2138007792TMJFWBWP10,,,
100000000353.0,1.0,87Q3KOXT29OW9W9YPT70,,,
100000000358.0,1.0,5493005044RTLQ5RZU70,,,
100000000292.0,1.0,300300UZF4RBHKZVO404,,,
100000127656.0,4.0,913711007317026041,,,
100000000387.0,1.0,529900S21EQ1BO4ESM68,,,
100000000395.0,1.0,529900PM64WH8AF1E917,,,
100000000453.0,1.0,529900COI81IT9N2Y682,,,
100000000405.0,1.0,529900DWUUT48N49GW60,,,
100000000375.0,1.0,969500MMPQVHK671GT54,,,
100000000409.0,1.0,549300MYU3YKCKJBD189,,,
100000000427.0,1.0,529900L8FE3MU1KCI428,,,
100000000373.0,1.0,7437005HSSQJYGIKV769,,,
100000000385.0,1.0,969500FO141C5967KC72,,,
100000000379.0,1.0,894500Y23968BJ3NV321,,,
100000000460.0,1.0,5299009ND87DUNR2Q640,,,
100000000423.0,1.0,5299000HV2TVXLGAFI12,,,
100000000361.0,1.0,743700CXEJT6NFCEFH10,,,
100000000360.0,1.0,635400IUIZZIUJSAMF76,,,
100000000441.0,1.0,3912000UG7BSLZNNPE57,,,
100000000434.0,1.0,5299007007PV58QU1992,,,
100000000388.0,1.0,969500LENY69X51OOT31,,,
100000000422.0,1.0,391200XEGYHIF19OFA91,,,
100000000380.0,1.0,T0YOOBZO4L6YAD6SAV65,,,
100000000414.0,1.0,LZ2C6E0W5W7LQMX5ZI37,,,
100000000401.0,1.0,529900LSMHWQMZ9K2T06,,,
100000000383.0,1.0,8945001AC1FBD0APV689,,,
100000000415.0,1.0,9676000ZAEA3HWR48T73,,,
100000000417.0,1.0,529900VDZU45QO6Y5R88,,,
100000000448.0,1.0,529900D5A2A6GUF90A97,,,
100000000433.0,1.0,529900GB7KCA94ACC940,,,
100000000407.0,1.0,529900JSFZ4TS59HKD79,,,
100000000364.0,1.0,743700WH2UY983X5YS19,,,
100000000459.0,1.0,549300PSVDV3P50KHS39,,,
100000002938.0,2.0,4296834473,,,
100000000426.0,1.0,529900ISR2VNZV1C0T93,,,
100000000436.0,1.0,W38RGI023J3WT1HWRP32,,,
100000000421.0,1.0,549300GDPG70E3MBBU98,,,
100000000432.0,1.0,529900BLWARQN0AJGS41,,,
100000000435.0,1.0,529900JMTRI22S9CHR61,,,
100000000439.0,1.0,529900V5T9KQG96O3O50,,,
100000000442.0,1.0,529900MQJKWN63THKE64,,,
100000000444.0,1.0,5299008M5YHZJ8OLI182,,,
100000000445.0,1.0,391200N0UBPH8HFFXF12,,,
100000000471.0,1.0,213800EYWS2GY56AWP42,,,
100000000472.0,1.0,2138003TO2MTRHWVP686,,,
100000000461.0,1.0,529900J4GLQFPKDLZO25,,,
100000000443.0,1.0,529900LUKDXAWQ85R269,,,
100000000362.0,1.0,743700XLANA89PIM0R55,,,
100000000363.0,1.0,7437001PQQSMIWTQB678,,,
100000000365.0,1.0,743700IYFBEBRQLD6D87,,,
100000000370.0,1.0,743700PZKMCR95473V34,,,
100000000376.0,1.0,969500Q2PFTTP0Y5QL44,,,
100000000391.0,1.0,5493001K58EJICR6I331,,,
100000000397.0,1.0,5299001BUUGXAREGE533,,,
100000000400.0,1.0,391200DUAQJKD2TJKD17,,,
100000000402.0,1.0,549300WLEU1CPDBFUP75,,,
100000000406.0,1.0,529900L64X6KZZW19R71,,,
100000000408.0,1.0,529900RVFNQP5047FQ84,,,
100000000410.0,1.0,XDFJ0CYCOO1FXRFTQS51,,,
100000000411.0,1.0,529900E7DJOH7M4VV795,,,
100000000526.0,1.0,335800KQUKNCAP53DT26,,,
100000000481.0,1.0,25490002BUTSMP94GO68,,,
100000000574.0,1.0,5493000KYXM5UD8IRI36,,,
100000000484.0,1.0,5493004FCSVNVBL78Y35,,,
100000000523.0,1.0,335800WPRPCRI524XG72,,,
100000000513.0,1.0,335800N82LJD42ZA5L32,,,
100000000524.0,1.0,335800FPDZ9MRSNO7N41,,,
100000000495.0,1.0,254900C7SSJDB5TFAA18,,,
100000000581.0,1.0,213800PAH766WG9R9I63,,,
100000000538.0,1.0,254900NDAKGNZ2IBBL45,,,
100001010016.0,1.0,335800QQP1IVCNFR9O03,,,
100000000582.0,1.0,B6ARUI4946ST4S7WOU88,,,
100000000476.0,1.0,213800T9Y5XCOVRZ4Y57,,,
100000000483.0,1.0,529900MDOW3M0UV2ST42,,,
100000000473.0,1.0,213800YUBJMZYR1SNG35,,,
100000000583.0,1.0,54930066NGDBJX7RSS25,,,
100000000530.0,1.0,335800H6MURUA6FBOW17,,,
100000000520.0,1.0,335800VMEEJXF4Z6TX31,,,
100000000585.0,1.0,213800CYKA4XE2HZZB09,,,
100000000475.0,1.0,213800KT8MEUJEJ2KW41,,,
100000000477.0,1.0,549300MBAYC212SJZ615,,,
100000000517.0,1.0,33580041DM91UH5WHE21,,,
100000000486.0,1.0,254900VS1MDQSDM9DE09,,,
100000000487.0,1.0,5299006PUX29DFJ1DE03,,,
100000000503.0,1.0,5299003TY875Q0V3MW30,,,
100000000480.0,1.0,254900LE05G7IV7LHN67,,,
100000000528.0,1.0,3358008Z18E3W8HFNL75,,,
100000000522.0,1.0,335800OM1V78CX7SSC72,,,
100000000516.0,1.0,335800UN158IOJOZY986,,,
100000000568.0,1.0,5493007MJ3BLX55XSZ63,,,
100000000591.0,1.0,529900FQVQD88SHIGM04,,,
100000000643.0,1.0,353800OAYL8VIUMRNJ59,,,
100000002849.0,3.0,02366970,,,
100000000689.0,1.0,2221008462KYO6NPKI38,,,
100000000656.0,1.0,5493004SE33MRLPB1W98,,,
100000000651.0,1.0,2NRSB4GOU9DD6CNW5R48,,,
100000000694.0,1.0,5493009C94ZZV7J5IO93,,,
100000000612.0,1.0,8156003BB8F68B507355,,,
100000000652.0,1.0,35380065QWQ4U2V3PA33,,,
100000000648.0,1.0,549300BYNZPLKQVQH430,,,
100000000660.0,1.0,353800678EIJLOQSWZ83,,,
100000000641.0,1.0,549300KMHPUAQI8VEH90,,,
100000000602.0,1.0,81560076E3944316DB24,,,
100000000702.0,1.0,5493003RZQYJM7QGNE15,,,
100000000623.0,1.0,8156007659C2E574DD58,,,
100000000659.0,1.0,5299004EMJ3R4RVR5Y75,,,
100000000639.0,1.0,549300P0R46FF6DUA630,,,
100000000687.0,1.0,2EULGUTUI56JI9SAL165,,,
100001001041.0,2.0,5000085763,,,
100000000608.0,1.0,WOCMU6HCI0OJWNPRZS33,,,
100000000692.0,1.0,549300Y7C05BKC4HZB40,,,
100000000644.0,1.0,549300TJ3QFYVCTSCJ29,,,
100000000654.0,1.0,353800024KMNOPQRWZ02,,,
100000000669.0,1.0,2138001H1M69RFJCSH88,,,
100000000613.0,1.0,8156004F4DBD574D7E58,,,
100000000646.0,1.0,353800PFUKP5ONPJNZ86,,,
100000000463.0,1.0,529900HZB06LAP9G6I84,,,
100000120890.0,1.0,335800P1W9QV6ZRZYC84,,,
100000000671.0,1.0,213800N83GBAZJ4ER974,,,
100000000662.0,1.0,549300CEE2ENIUJNXB84,,,
100000000706.0,1.0,549300FV8X6UID6I1413,,,
100000000657.0,1.0,V82KK8NH1P0JS71FJC05,,,
100000000624.0,1.0,8156001D50F7F0951212,,,
100000000647.0,1.0,549300ZDCYYUPHEE5K87,,,
100000000645.0,1.0,549300WXUNBZ356DMN17,,,
100000000603.0,1.0,81560015838D77561819,,,
100000000599.0,1.0,2138004NVQ51G35LN253,,,
100000000606.0,1.0,815600E8A86B8D8AAD76,,,
100000000617.0,1.0,8156007A9B3C519A9629,,,
100000000619.0,1.0,8156009414FD99443B48,,,
100000000620.0,1.0,8156001EBD33FD474E60,,,
100000000622.0,1.0,815600D6907FE7116F38,,,
100000000635.0,1.0,3538001KQ5SAOZSQTT44,,,
100000000637.0,1.0,549300T6IPOCDWLKC615,,,
100000000610.0,1.0,BUCRF72VH5RBN7X3VL35,,,
100000000611.0,1.0,8156002C9BD3973BDB16,,,
100000000672.0,1.0,549300WY5QI80P9WHD46,,,
100000000684.0,1.0,2594009C1DDAZTJRDE32,,,
100000000685.0,1.0,5493005RZJHJT5PNHY10,,,
100000000691.0,1.0,529900KJQUVA973CS502,,,
100000000693.0,1.0,529900DQ8JP1LS3K2A47,,,
100000000709.0,1.0,529900ZIF78FSY4ZT673,,,
100000000733.0,1.0,43E3J8IW05M8QK6I9N58,,,
100001010294.0,2.0,4298258054,,,
